Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
;;;;;;;;;;;
11;12;0.000;max;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;
11;12;0.000;min;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;
11;;0.825;max;5.1;2.6;2.6;3.4;3.1;-1.3;0.3;
11;;0.825;min;7.6;-7.2;-2.4;0.9;-3.9;-4.5;-0.4;
11;;0.825;max;5.1;2.6;2.6;3.4;3.1;-1.3;0.3;
11;;0.825;min;7.6;-7.2;-2.4;0.9;-3.9;-4.5;-0.4;
11;;1.005;max;5.8;2.7;2.8;4.3;3.7;-1.5;0.3;
11;;1.005;min;7.6;-7.1;-2.5;1.1;-4.6;-4.8;-0.3;
11;111;1.650;max;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;
11;111;1.650;min;7.9;-6.9;-2.9;2.3;-7.0;-5.7;0.0;
Extremes;111;1.650;u_X;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;CO12
11;12;0.000;u_X;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO15
11;111;1.650;u_Y;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;CO16
11;111;1.650;u_Y;7.9;-6.9;-2.9;2.3;-7.0;-5.7;0.0;CO18
11;111;1.650;u_Z;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;CO7
11;12;0.000;u_Z;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO11
11;111;1.650;φ_X;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;CO16
11;111;1.650;φ_X;7.9;-6.9;-2.9;2.3;-7.0;-5.7;0.0;CO19
11;12;0.000;φ_Y;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO10
11;111;1.650;φ_Y;7.9;-6.9;-2.9;2.3;-7.0;-5.7;0.0;CO7
11;12;0.000;φ_Z;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO16
11;12;0.000;φ_Z;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO18
Total;;;;8.9;2.9;3.2;7.8;5.6;-0.3;0.6;
11;;;;3.3;-7.3;-2.9;0.1;-7.0;-5.7;-0.7;
;;;;;;;;;;;
12;13;0.000;max;30.7;3.8;4.6;30.1;13.3;-2.6;1.2;
12;13;0.000;min;13.7;-5.5;-4.4;11.8;-14.6;-6.4;-1.1;
12;;0.787;max;35.6;4.0;4.8;35.0;12.7;-2.3;1.2;
12;;0.787;min;15.6;-5.1;-4.6;14.0;-13.9;-5.8;-1.1;
