Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
4;110;29;1.575;;-61.40;0.08;-33.76;-0.03;63.64;0.82;Beam | 1 - IPE 500 | L : 1.575 m
4;26;29;0.000;;-61.44;-0.08;-34.22;-0.03;63.64;0.82;Beam | 1 - IPE 500 | L : 0.075 m
4;26;72;0.075;;-61.45;-0.07;-34.31;-0.03;61.07;0.83;Beam | 1 - IPE 500 | L : 0.075 m
4;111;72;0.000;;-62.63;0.37;-46.97;0.09;60.90;0.81;Beam | 1 - IPE 500 | L : 1.650 m
4;111;71;1.650;;-62.80;0.30;-49.01;0.08;-18.31;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;112;71;0.000;;-63.99;0.44;-61.68;0.10;-18.48;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;112;69;1.650;;-64.25;0.30;-63.62;0.06;-121.88;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
4;113;69;0.000;;-65.45;0.43;-76.28;0.09;-122.05;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
4;113;30;1.650;;-65.87;0.20;-78.10;0.03;-249.45;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;25;28;0.000;N;-57.69;-0.32;5.73;-0.02;149.86;-0.24;Beam | 1 - IPE 500 | L : 0.150 m
4;23;26;0.000;N;-65.91;-0.20;78.48;-0.03;-249.78;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
4;112;71;0.000;V_y;-63.99;0.44;-61.68;0.10;-18.48;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;91;57;1.650;V_y;-64.02;-0.46;62.06;-0.10;-18.17;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;23;26;0.000;V_z;-65.91;-0.20;78.48;-0.03;-249.78;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
4;113;30;1.650;V_z;-65.87;0.20;-78.10;0.03;-249.45;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
4;112;71;0.000;M_T;-63.99;0.44;-61.68;0.10;-18.48;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;91;57;1.650;M_T;-64.02;-0.46;62.06;-0.10;-18.17;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;100;63;1.650;M_y;-58.51;0.24;2.52;0.01;150.93;-0.16;Beam | 1 - IPE 500 | L : 1.650 m
4;23;26;0.000;M_y;-65.91;-0.20;78.48;-0.03;-249.78;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
4;24;;1.181;M_z;-61.33;-0.05;32.64;0.03;102.80;0.85;Beam | 1 - IPE 500 | L : 1.575 m
4;23;;1.031;M_z;-65.62;-0.35;77.36;-0.07;-169.40;-0.31;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;;-57.69;0.44;78.48;0.10;150.93;0.85;
4;;;;;-65.91;-0.46;-78.10;-0.10;-249.78;-0.31;
;;;;;;;;;;;
5;Obergurt;;;;;;;;;;
5;29;33;0.000;;-64.94;-0.19;78.63;-0.02;-250.37;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
5;29;49;1.650;;-64.52;-0.41;76.81;-0.08;-122.08;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
5;84;49;0.000;;-63.32;-0.31;64.15;-0.06;-122.55;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
5;84;50;1.650;;-63.06;-0.44;62.21;-0.10;-18.27;0.21;Beam | 1 - IPE 500 | L : 1.650 m
5;85;50;0.000;;-61.87;-0.30;49.54;-0.08;-18.74;0.21;Beam | 1 - IPE 500 | L : 1.650 m
5;85;51;1.650;;-61.70;-0.37;47.51;-0.09;61.35;0.81;Beam | 1 - IPE 500 | L : 1.650 m
5;86;51;0.000;;-60.52;0.08;34.83;0.04;60.88;0.80;Beam | 1 - IPE 500 | L : 0.075 m
5;86;34;0.075;;-60.51;0.09;34.74;0.04;63.49;0.79;Beam | 1 - IPE 500 | L : 0.075 m
5;30;34;0.000;;-60.46;-0.10;34.26;0.04;63.49;0.79;Beam | 1 - IPE 500 | L : 1.575 m
5;30;54;1.575;;-60.33;-0.05;32.26;0.04;115.89;0.82;Beam | 1 - IPE 500 | L : 1.575 m
5;89;54;0.000;;-59.12;0.08;19.59;0.05;115.42;0.82;Beam | 1 - IPE 500 | L : 1.650 m
5;89;53;1.650;;-58.97;0.11;17.45;0.04;145.99;0.48;Beam | 1 - IPE 500 | L : 1.650 m
5;88;53;0.000;;-57.74;0.20;4.79;0.04;145.52;0.47;Beam | 1 - IPE 500 | L : 1.650 m
5;88;52;1.650;;-57.55;0.20;2.64;0.01;151.65;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
5;87;52;0.000;;-56.78;0.25;-5.03;0.02;151.37;-0.09;Beam | 1 - IPE 500 | L : 0.150 m
5;87;35;0.150;;-56.76;0.25;-5.23;0.02;150.60;-0.15;Beam | 1 - IPE 500 | L : 0.150 m
5;31;35;0.000;;-56.72;-0.25;5.61;-0.01;150.60;-0.15;Beam | 1 - IPE 500 | L : 0.150 m
