Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
11;12;0.000;;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;12;0.000;u_x;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_x;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_y;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_y;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_z;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_z;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;φ_x;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;φ_x;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;φ_y;2.3;-1.9;1.3;-0.1;0.3;-1.3;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;φ_y;4.5;-1.9;2.0;3.5;3.7;-2.8;0.4;Beam | 1 - IPE 500 | L : 1.650 m
