Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
11;111;1.650;φ_y;5.5;-5.0;-1.9;1.4;-4.6;-4.0;-0.4;CO26
11;;0.165;φ_z;2.1;1.5;1.4;0.5;0.7;-0.5;0.4;CO35
11;;0.165;φ_z;5.1;-5.0;-1.2;-0.3;-0.9;-2.2;-0.5;CO37
Total;;;;5.9;1.5;2.0;5.3;3.7;-0.3;0.4;
11;;;;2.0;-5.0;-1.9;-0.4;-4.6;-4.0;-0.5;
;;;;;;;;;;;
12;13;0.000;max;21.1;1.4;3.0;20.8;8.9;-1.9;0.1;
12;13;0.000;min;10.2;-5.1;-2.8;8.4;-9.7;-4.5;-0.1;
12;;0.787;max;24.5;1.4;3.0;24.2;8.4;-1.7;0.1;
12;;0.787;min;11.6;-5.1;-2.9;10.1;-9.3;-4.1;-0.1;
12;;0.787;max;24.5;1.4;3.0;24.2;8.4;-1.7;0.1;
12;;0.787;min;11.6;-5.1;-2.9;10.1;-9.3;-4.1;-0.1;
12;114;1.575;max;27.5;1.4;3.1;27.3;8.0;-1.4;0.1;
12;114;1.575;min;13.0;-5.1;-3.0;11.6;-8.8;-3.5;-0.1;
Extremes;13;0.000;u_x;21.1;1.4;3.0;20.8;8.9;-1.9;0.1;CO31
12;114;1.575;u_x;13.0;-5.1;-3.0;11.6;-8.8;-3.5;-0.1;CO34
12;114;1.575;u_y;27.5;1.4;3.1;27.3;8.0;-1.4;0.1;CO35
12;114;1.575;u_y;13.0;-5.1;-3.0;11.6;-8.8;-3.5;-0.1;CO37
12;114;1.575;u_z;27.5;1.4;3.1;27.3;8.0;-1.4;0.1;CO27
12;13;0.000;u_z;10.2;-5.1;-2.8;8.4;-9.7;-4.5;-0.1;CO29
12;13;0.000;φ_x;21.1;1.4;3.0;20.8;8.9;-1.9;0.1;CO35
12;13;0.000;φ_x;10.2;-5.1;-2.8;8.4;-9.7;-4.5;-0.1;CO38
