Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
11;12;0.000;V_z;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;V_z;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;M_T;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;M_T;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;M_y;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;M_y;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.206;M_z;-51.63;0.00;56.02;0.00;-172.82;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;M_z;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;-51.40;0.00;56.19;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;;;;-51.67;0.00;54.82;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
;;;;;;;;;;
12;13;0.000;;-48.66;0.00;24.67;0.00;40.89;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;;-48.54;0.00;23.21;0.00;78.60;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
Extremes;114;1.575;N;-48.54;0.00;23.21;0.00;78.60;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;N;-48.66;0.00;24.67;0.00;40.89;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;V_y;-48.54;0.00;23.21;0.00;78.60;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
